Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,11,1.5,0.7564102564102564,0.9042553191489362,0.7456140350877193,0.8173076923076923,0.8130743525480368,1.5400732490234077
dcgan,12,0.25,0.7948717948717948,0.8014705882352942,0.956140350877193,0.872,0.7903091060985798,0.9159124088473618
dcgan,12,0.5,0.6987179487179487,0.8383838383838383,0.7280701754385965,0.7793427230046949,0.7433166248955723,0.9854035470634699
dcgan,12,0.75,0.7371794871794872,0.738562091503268,0.9912280701754386,0.846441947565543,0.8205931495405179,1.1759899179451168
dcgan,12,1.0,0.7884615384615384,0.8292682926829268,0.8947368421052632,0.8607594936708861,0.8264411027568922,1.2941061416640878
dcgan,12,1.5,0.7884615384615384,0.8045112781954887,0.9385964912280702,0.8663967611336032,0.8038847117794486,1.545368294697255
dcgan,13,0.25,0.3141025641025641,0.8888888888888888,0.07017543859649122,0.13008130081300814,0.8350041771094403,0.9299388490617275
dcgan,13,0.5,0.8012820512820513,0.8429752066115702,0.8947368421052632,0.8680851063829788,0.8243525480367586,1.0556453671306372
dcgan,13,0.75,0.8012820512820513,0.832,0.9122807017543859,0.8702928870292888,0.8013784461152882,1.1849047113209963
dcgan,13,1.0,0.7564102564102564,0.7567567567567568,0.9824561403508771,0.8549618320610687,0.754594820384294,1.3153429511003196
dcgan,13,1.5,0.5769230769230769,0.875,0.49122807017543857,0.6292134831460674,0.7804928989139516,1.5800099917687476
dcgan,14,0.25,0.44871794871794873,0.9666666666666667,0.2543859649122807,0.4027777777777778,0.7159565580618211,0.8803425980731845
dcgan,14,0.5,0.6025641025641025,0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7930242272347536,1.0635386793874204
dcgan,14,0.75,0.6923076923076923,0.9714285714285714,0.5964912280701754,0.7391304347826086,0.8575605680868839,1.1678537838160992
dcgan,14,1.0,0.7884615384615384,0.8932038834951457,0.8070175438596491,0.847926267281106,0.8262322472848788,1.3206328749656677
dcgan,14,1.5,0.8012820512820513,0.8120300751879699,0.9473684210526315,0.8744939271255061,0.8606934001670844,1.5551721579395235
dcgan,15,0.25,0.717948717948718,0.8645833333333334,0.7280701754385965,0.7904761904761904,0.8097326649958229,0.9251887747086585
dcgan,15,0.5,0.5833333333333334,0.9152542372881356,0.47368421052631576,0.6242774566473989,0.8458646616541352,1.061337604187429
dcgan,15,0.75,0.7756410256410257,0.8376068376068376,0.8596491228070176,0.8484848484848485,0.8182957393483709,1.18309904076159
dcgan,15,1.0,0.6923076923076923,0.9125,0.6403508771929824,0.7525773195876289,0.8285296574770258,1.3140374631620944
dcgan,15,1.5,0.7756410256410257,0.9072164948453608,0.7719298245614035,0.8341232227488151,0.8425229741019215,1.5326827629469335
dcgan,16,0.25,0.8141025641025641,0.8014184397163121,0.9912280701754386,0.8862745098039215,0.7821637426900585,0.9335423717275262
dcgan,16,0.5,0.7756410256410257,0.8434782608695652,0.8508771929824561,0.8471615720524017,0.7875939849624062,1.0767421517521143
dcgan,16,0.75,0.7884615384615384,0.7913669064748201,0.9649122807017544,0.8695652173913043,0.794903926482874,1.1868797629140317
dcgan,16,1.0,0.7435897435897436,0.743421052631579,0.9912280701754386,0.849624060150376,0.8114035087719298,1.307445716112852
dcgan,16,1.5,0.8012820512820513,0.8267716535433071,0.9210526315789473,0.8713692946058091,0.81328320802005,1.5750312902964652
dcgan,17,0.25,0.7756410256410257,0.8910891089108911,0.7894736842105263,0.8372093023255814,0.8366750208855472,0.9265168271958828
dcgan,17,0.5,0.40384615384615385,0.9565217391304348,0.19298245614035087,0.32116788321167883,0.8373015873015873,1.0618773000314832
dcgan,17,0.75,0.7435897435897436,0.9111111111111111,0.7192982456140351,0.803921568627451,0.8191311612364244,1.1929208189249039
dcgan,17,1.0,0.47435897435897434,0.9705882352941176,0.2894736842105263,0.44594594594594594,0.8671679197994988,1.327124620322138
dcgan,17,1.5,0.7948717948717948,0.8014705882352942,0.956140350877193,0.872,0.7928153717627402,1.5879434212110937
dcgan,18,0.25,0.782051282051282,0.8225806451612904,0.8947368421052632,0.8571428571428571,0.7658730158730158,0.9232624405995011
