strategy,strategy_display_name,strategy_index,gan_run_id,generation_run_id,classifier_run_id,ratio,acc,prec,rec,f1,auc,tn,fp,fn,tp,synthetic_class0_count,synthetic_class1_count,total_synthetic_count,balanced_dataset_size,total_real_samples,real_class0_count,real_class1_count,gan_training_time_sec,synthetic_generation_time_sec,classifier_training_time_sec,classifier_eval_time_sec,gan_seed,generation_seed,classifier_seed
wgan,WGAN-GP (classe 0),4,4,2,10,0.2697947214076246,0.75,0.8712871287128713,0.7719298245614035,0.8186046511627907,0.731203007518797,29,13,26,88,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.37471604347229004,0.11333680152893066,40002028,40006026,44004034
wgan,WGAN-GP (classe 0),4,4,3,1,0.2698412698412698,0.7884615384615384,0.813953488372093,0.9210526315789473,0.8641975308641975,0.674812030075188,18,24,9,105,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.44761085510253906,0.1153721809387207,40002028,40006027,44005025
wgan,WGAN-GP (classe 0),4,4,3,2,0.2698412698412698,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.5119047619047619,1,41,0,114,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.44805359840393066,0.11530613899230957,40002028,40006027,44005026
wgan,WGAN-GP (classe 0),4,4,3,3,0.2698412698412698,0.7692307692307693,0.8046875,0.9035087719298246,0.8512396694214877,0.6541353383458647,17,25,11,103,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.44893383979797363,0.11553049087524414,40002028,40006027,44005027
wgan,WGAN-GP (classe 0),4,4,3,4,0.2698412698412698,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.4481804370880127,0.11545681953430176,40002028,40006027,44005028
wgan,WGAN-GP (classe 0),4,4,3,5,0.2698412698412698,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.45749473571777344,0.11895394325256348,40002028,40006027,44005029
wgan,WGAN-GP (classe 0),4,4,3,6,0.2698412698412698,0.782051282051282,0.7857142857142857,0.9649122807017544,0.8661417322834646,0.62531328320802,12,30,4,110,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.44814133644104004,0.1156013011932373,40002028,40006027,44005030
wgan,WGAN-GP (classe 0),4,4,3,7,0.2698412698412698,0.532051282051282,0.9019607843137255,0.40350877192982454,0.5575757575757576,0.6422305764411027,37,5,68,46,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.4499185085296631,0.11555337905883789,40002028,40006027,44005031
wgan,WGAN-GP (classe 0),4,4,3,8,0.2698412698412698,0.782051282051282,0.7777777777777778,0.9824561403508771,0.8682170542635659,0.6102756892230576,10,32,2,112,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.4482722282409668,0.11865568161010742,40002028,40006027,44005032
wgan,WGAN-GP (classe 0),4,4,3,9,0.2698412698412698,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.45361781120300293,0.11713147163391113,40002028,40006027,44005033
wgan,WGAN-GP (classe 0),4,4,3,10,0.2698412698412698,0.7756410256410257,0.8264462809917356,0.8771929824561403,0.851063829787234,0.6885964912280702,21,21,14,100,74,199,273,819,546,147,399,22.280312299728394,0.0035517215728759766,0.4519946575164795,0.1154940128326416,40002028,40006027,44005034
wgan,WGAN-GP (classe 0),4,4,4,1,0.2688284518828452,0.7628205128205128,0.7549668874172185,1.0,0.8603773584905661,0.5595238095238095,5,37,0,114,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5238115787506104,0.11797952651977539,40002028,40006028,44006025
wgan,WGAN-GP (classe 0),4,4,4,2,0.2688284518828452,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5245051383972168,0.1177666187286377,40002028,40006028,44006026
wgan,WGAN-GP (classe 0),4,4,4,3,0.2688284518828452,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5236725807189941,0.11915946006774902,40002028,40006028,44006027
wgan,WGAN-GP (classe 0),4,4,4,4,0.2688284518828452,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5212056636810303,0.11690258979797363,40002028,40006028,44006028
wgan,WGAN-GP (classe 0),4,4,4,5,0.2688284518828452,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5239429473876953,0.11779022216796875,40002028,40006028,44006029
wgan,WGAN-GP (classe 0),4,4,4,6,0.2688284518828452,0.75,0.7516778523489933,0.9824561403508771,0.8517110266159695,0.5507518796992481,5,37,2,112,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5227973461151123,0.11778473854064941,40002028,40006028,44006030
wgan,WGAN-GP (classe 0),4,4,4,7,0.2688284518828452,0.7371794871794872,0.7552447552447552,0.9473684210526315,0.8404669260700389,0.5570175438596491,7,35,6,108,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5246436595916748,0.1181180477142334,40002028,40006028,44006031
wgan,WGAN-GP (classe 0),4,4,4,8,0.2688284518828452,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.525188684463501,0.1191854476928711,40002028,40006028,44006032
wgan,WGAN-GP (classe 0),4,4,4,9,0.2688284518828452,0.7948717948717948,0.8253968253968254,0.9122807017543859,0.8666666666666667,0.694235588972431,20,22,10,104,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.524348258972168,0.11746358871459961,40002028,40006028,44006033
wgan,WGAN-GP (classe 0),4,4,4,10,0.2688284518828452,0.782051282051282,0.8125,0.9122807017543859,0.859504132231405,0.6704260651629073,18,24,10,104,110,300,410,956,546,147,399,22.280312299728394,0.0037097930908203125,0.5230247974395752,0.11865830421447754,40002028,40006028,44006034
wgan,WGAN-GP (classe 0),4,4,5,1,0.2692307692307692,0.7884615384615384,0.813953488372093,0.9210526315789473,0.8641975308641975,0.674812030075188,18,24,9,105,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6375808715820312,0.12103390693664551,40002028,40006029,44007025
wgan,WGAN-GP (classe 0),4,4,5,2,0.2692307692307692,0.75,0.7622377622377622,0.956140350877193,0.8482490272373541,0.5733082706766917,8,34,5,109,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6411476135253906,0.12174463272094727,40002028,40006029,44007026
wgan,WGAN-GP (classe 0),4,4,5,3,0.2692307692307692,0.7756410256410257,0.8015267175572519,0.9210526315789473,0.8571428571428571,0.6510025062656641,16,26,9,105,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6370682716369629,0.12087583541870117,40002028,40006029,44007027
wgan,WGAN-GP (classe 0),4,4,5,4,0.2692307692307692,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.5119047619047619,1,41,0,114,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.637535572052002,0.11853957176208496,40002028,40006029,44007028
wgan,WGAN-GP (classe 0),4,4,5,5,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.640066385269165,0.12119221687316895,40002028,40006029,44007029
wgan,WGAN-GP (classe 0),4,4,5,6,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6394162178039551,0.12053298950195312,40002028,40006029,44007030
wgan,WGAN-GP (classe 0),4,4,5,7,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6412563323974609,0.12151980400085449,40002028,40006029,44007031
wgan,WGAN-GP (classe 0),4,4,5,8,0.2692307692307692,0.8076923076923077,0.8134328358208955,0.956140350877193,0.8790322580645161,0.6804511278195489,17,25,5,109,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6389048099517822,0.12103796005249023,40002028,40006029,44007032
wgan,WGAN-GP (classe 0),4,4,5,9,0.2692307692307692,0.6923076923076923,0.84375,0.7105263157894737,0.7714285714285715,0.6766917293233081,27,15,33,81,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6384432315826416,0.12138986587524414,40002028,40006029,44007033
wgan,WGAN-GP (classe 0),4,4,5,10,0.2692307692307692,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,147,399,546,1092,546,147,399,22.280312299728394,0.003301858901977539,0.6457369327545166,0.12127923965454102,40002028,40006029,44007034
wgan,WGAN-GP (classe 0),4,4,6,1,0.26886446886446885,0.8076923076923077,0.8088235294117647,0.9649122807017544,0.88,0.6729323308270676,16,26,4,110,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.7578961849212646,0.11567425727844238,40002028,40006030,44008025
wgan,WGAN-GP (classe 0),4,4,6,2,0.26886446886446885,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.7985734939575195,0.12234902381896973,40002028,40006030,44008026
wgan,WGAN-GP (classe 0),4,4,6,3,0.26886446886446885,0.75,0.7450980392156863,1.0,0.8539325842696629,0.5357142857142857,3,39,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.799159049987793,0.1222238540649414,40002028,40006030,44008027
wgan,WGAN-GP (classe 0),4,4,6,4,0.26886446886446885,0.7692307692307693,0.76,1.0,0.8636363636363636,0.5714285714285714,6,36,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.7999100685119629,0.12253999710083008,40002028,40006030,44008028
wgan,WGAN-GP (classe 0),4,4,6,5,0.26886446886446885,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.8002030849456787,0.1222987174987793,40002028,40006030,44008029
wgan,WGAN-GP (classe 0),4,4,6,6,0.26886446886446885,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.8006148338317871,0.12183356285095215,40002028,40006030,44008030
wgan,WGAN-GP (classe 0),4,4,6,7,0.26886446886446885,0.7628205128205128,0.7583892617449665,0.9912280701754386,0.8593155893536122,0.5670426065162907,6,36,1,113,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.802213191986084,0.1218709945678711,40002028,40006030,44008031
wgan,WGAN-GP (classe 0),4,4,6,8,0.26886446886446885,0.7628205128205128,0.7549668874172185,1.0,0.8603773584905661,0.5595238095238095,5,37,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.7989881038665771,0.12207984924316406,40002028,40006030,44008032
wgan,WGAN-GP (classe 0),4,4,6,9,0.26886446886446885,0.8012820512820513,0.7902097902097902,0.9912280701754386,0.8793774319066148,0.6384711779448622,12,30,1,113,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.7979636192321777,0.12182283401489258,40002028,40006030,44008033
wgan,WGAN-GP (classe 0),4,4,6,10,0.26886446886446885,0.7692307692307693,0.76,1.0,0.8636363636363636,0.5714285714285714,6,36,0,114,220,599,819,1365,546,147,399,22.280312299728394,0.0036678314208984375,0.7980117797851562,0.12175393104553223,40002028,40006030,44008034
wgan,WGAN-GP (classe 0),4,5,1,1,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,22.4238498210907,0.0,0.3033576011657715,0.11049294471740723,40002029,40007025,45003025
wgan,WGAN-GP (classe 0),4,5,1,2,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,22.4238498210907,0.0,0.3037269115447998,0.10974383354187012,40002029,40007025,45003026
wgan,WGAN-GP (classe 0),4,5,1,3,0.2692307692307692,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,0,0,0,546,546,147,399,22.4238498210907,0.0,0.28760862350463867,0.10857272148132324,40002029,40007025,45003027
wgan,WGAN-GP (classe 0),4,5,1,4,0.2692307692307692,0.75,0.7483443708609272,0.9912280701754386,0.8528301886792453,0.543233082706767,4,38,1,113,0,0,0,546,546,147,399,22.4238498210907,0.0,0.30408382415771484,0.11014533042907715,40002029,40007025,45003028
wgan,WGAN-GP (classe 0),4,5,1,5,0.2692307692307692,0.717948717948718,0.7692307692307693,0.8771929824561403,0.819672131147541,0.581453634085213,12,30,14,100,0,0,0,546,546,147,399,22.4238498210907,0.0,0.28645777702331543,0.10888051986694336,40002029,40007025,45003029
wgan,WGAN-GP (classe 0),4,5,1,6,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,22.4238498210907,0.0,0.30423498153686523,0.1103353500366211,40002029,40007025,45003030
wgan,WGAN-GP (classe 0),4,5,1,7,0.2692307692307692,0.75,0.7450980392156863,1.0,0.8539325842696629,0.5357142857142857,3,39,0,114,0,0,0,546,546,147,399,22.4238498210907,0.0,0.30562782287597656,0.11098527908325195,40002029,40007025,45003031
wgan,WGAN-GP (classe 0),4,5,1,8,0.2692307692307692,0.7692307692307693,0.7635135135135135,0.9912280701754386,0.8625954198473282,0.5789473684210527,7,35,1,113,0,0,0,546,546,147,399,22.4238498210907,0.0,0.30450916290283203,0.11015486717224121,40002029,40007025,45003032
wgan,WGAN-GP (classe 0),4,5,1,9,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,22.4238498210907,0.0,0.30397605895996094,0.11076641082763672,40002029,40007025,45003033
